Year,AverageSalary,Skill
2018,72671,Cloud Computing
2019,88416,Cloud Computing
2020,98214,Cloud Computing
2021,158133,Cloud Computing
2022,167764,Cloud Computing
2018,85091,Database Management
2019,88797,Database Management
2020,91706,Database Management
2021,95497,Database Management
2022,98570,Database Management
2018,81749,Programming Language
2019,88241,Programming Language
2020,93509,Programming Language
2021,99006,Programming Language
2022,103113,Programming Language
2018,92766,Full Stack Developer
2019,99063,Full Stack Developer
2020,134408,Full Stack Developer
2021,144177,Full Stack Developer
2022,160981,Full Stack Developer
2018,63324,Data Science and Machine Learning
2019,98653,Data Science and Machine Learning
2020,159261,Data Science and Machine Learning
2021,196707,Data Science and Machine Learning
2022,206270,Data Science and Machine Learning
